From:	NCF::STPMODELS    "D. Bilitza (301)513-1664" 20-DEC-1996 15:16:31.07
To:	BILITZA
 89034 0.00000E+00 3.44746E+11 186 216   90216 0.00000E+00 3.74974E+11 191 200
 89035 0.00000E+00 3.44746E+11 183 217   90217 0.00000E+00 3.72979E+11 181 200
 89036 0.00000E+00 3.45103E+11 195 218   90218 0.00000E+00 3.70102E+11 175 201
 89037 0.00000E+00 3.48878E+11 205 219   90219 0.00000E+00 3.67708E+11 172 201
 89038 0.00000E+00 3.54850E+11 211 219   90220 0.00000E+00 3.67326E+11 185 202
 89039 0.00000E+00 3.62569E+11 244 220   90221 0.00000E+00 3.71195E+11 183 202
 89040 0.00000E+00 3.72193E+11 259 220   90222 0.00000E+00 3.80748E+11 186 202
 89041 0.00000E+00 3.84550E+11 270 221   90223 0.00000E+00 3.90088E+11 187 201
 89042 0.00000E+00 4.01423E+11 257 221   90224 0.00000E+00 3.93344E+11 188 200
 89043 0.00000E+00 4.16537E+11 257 221   90225 0.00000E+00 3.92244E+11 193 200
 89044 0.00000E+00 4.05202E+11 258 221   90226 0.00000E+00 3.89377E+11 188 199
 89045 0.00000E+00 3.98170E+11 261 221   90227 0.00000E+00 3.86717E+11 200 198
 89046 0.00000E+00 3.97299E+11 241 220   90228 0.00000E+00 3.86309E+11 211 198
 89047 0.00000E+00 3.93866E+11 241 220   90229 0.00000E+00 3.90088E+11 228 197
 89048 0.00000E+00 3.82531E+11 234 219   90230 0.00000E+00 3.97645E+11 246 196
 89049 0.00000E+00 3.71195E+11 214 217   90231 0.00000E+00 4.01423E+11 268 196
 89050 0.00000E+00 3.65406E+11 214 216   90232 0.00000E+00 3.90088E+11 289 196
 89051 0.00000E+00 3.67417E+11 202 215   90233 0.00000E+00 4.08980E+11 298 196
 89052 0.00000E+00 3.74974E+11 218 215   90234 0.00000E+00 4.12759E+11 323 196
 89053 0.00000E+00 3.71195E+11 214 214   90235 0.00000E+00 4.08980E+11 323 196
 89054 0.00000E+00 3.63280E+11 215 212   90236 0.00000E+00 4.05987E+11 329 196
 89055 0.00000E+00 3.56091E+11 213 211   90237 0.00000E+00 4.01423E+11 304 197
 89056 0.00000E+00 3.52303E+11 204 210   90238 0.00000E+00 3.92854E+11 285 197
 89057 0.00000E+00 3.52303E+11 190 209   90239 0.00000E+00 3.84477E+11 269 197
 89058 0.00000E+00 3.48525E+11 169 208   90240 0.00000E+00 3.82531E+11 250 198
 89059 0.00000E+00 3.45951E+11 164 208   90241 0.00000E+00 3.90088E+11 225 198
 89060 0.00000E+00 3.44746E+11 169 207   90242 0.00000E+00 3.93866E+11 210 198
 89061 0.00000E+00 3.43441E+11 174 206   90243 0.00000E+00 3.86967E+11 183 199
 89062 0.00000E+00 3.42058E+11 169 206   90244 0.00000E+00 3.75479E+11 171 199
 89063 0.00000E+00 3.40968E+11 164 206   90245 0.00000E+00 3.67417E+11 169 199
 89064 0.00000E+00 3.40968E+11 184 206   90246 0.00000E+00 3.68794E+11 163 200
 89065 0.00000E+00 3.43691E+11 201 206   90247 0.00000E+00 3.75905E+11 158 200
 89066 0.00000E+00 3.48525E+11 190 205   90248 0.00000E+00 3.83855E+11 158 200
 89067 0.00000E+00 3.59860E+11 203 205   90249 0.00000E+00 3.88037E+11 158 200
 89068 0.00000E+00 3.86309E+11 204 205   90250 0.00000E+00 3.82531E+11 165 200
 89069 0.00000E+00 3.86309E+11 212 205   90251 0.00000E+00 3.67417E+11 164 201
 89070 0.00000E+00 3.71195E+11 232 205   90252 0.00000E+00 3.67417E+11 170 201
 89071 0.00000E+00 3.90088E+11 238 205   90253 0.00000E+00 3.74974E+11 171 201
 89072 0.00000E+00 4.07074E+11 253 205   90254 0.00000E+00 3.71195E+11 181 201
 89073 0.00000E+00 4.05202E+11 264 205   90255 0.00000E+00 3.82531E+11 193 201
 89074 0.00000E+00 3.90088E+11 256 206   90256 0.00000E+00 3.90088E+11 198 200
 89075 0.00000E+00 4.01423E+11 262 206   90257 0.00000E+00 3.93866E+11 209 200
 89076 0.00000E+00 4.01423E+11 241 205   90258 0.00000E+00 3.94994E+11 207 200
 89077 0.00000E+00 3.91915E+11 234 205   90259 0.00000E+00 3.94279E+11 205 199
 89078 0.00000E+00 3.82531E+11 221 205   90260 0.00000E+00 3.92548E+11 211 199
 89079 0.00000E+00 3.78805E+11 218 205   90261 0.00000E+00 3.90269E+11 208 199
 89080 0.00000E+00 3.78828E+11 214 204   90262 0.00000E+00 3.87723E+11 214 198
 89081 0.00000E+00 3.79685E+11 223 203   90263 0.00000E+00 3.85091E+11 204 198
 89082 0.00000E+00 3.78752E+11 216 202   90264 0.00000E+00 3.82531E+11 203 197
 89083 0.00000E+00 3.71195E+11 193 201   90265 0.00000E+00 3.80086E+11 195 197
 89084 0.00000E+00 3.52303E+11 186 200   90266 0.00000E+00 3.77293E+11 185 196
 89085 0.00000E+00 3.40465E+11 172 200   90267 0.00000E+00 3.73434E+11 179 196
 89086 0.00000E+00 3.34925E+11 163 199   90268 0.00000E+00 3.67417E+11 167 195
 89087 0.00000E+00 3.29632E+11 157 198   90269 0.00000E+00 3.63638E+11 160 195
 89088 0.00000E+00 3.25854E+11 156 198   90270 0.00000E+00 3.74974E+11 153 194
 89089 0.00000E+00 3.37189E+11 160 198   90271 0.00000E+00 3.71195E+11 152 194
 89090 0.00000E+00 3.37189E+11 168 197   90272 0.00000E+00 3.64175E+11 150 193
 89091 0.00000E+00 3.44746E+11 174 197   90273 0.00000E+00 3.58679E+11 158 192
 89092 0.00000E+00 3.52303E+11 184 197   90274 0.00000E+00 3.54257E+11 161 191
 89093 0.00000E+00 3.44746E+11 197 197   90275 0.00000E+00 3.50833E+11 163 189
 89094 0.00000E+00 3.59860E+11 189 197   90276 0.00000E+00 3.48682E+11 177 188
 89095 0.00000E+00 3.63638E+11 191 196   90277 0.00000E+00 3.48525E+11 187 186
 89096 0.00000E+00 3.74974E+11 197 196   90278 0.00000E+00 3.52303E+11 170 184
 89097 0.00000E+00 3.90088E+11 200 196   90279 0.00000E+00 3.59860E+11 170 184
 89098 0.00000E+00 3.86309E+11 207 196   90280 0.00000E+00 3.59860E+11 169 183
 89099 0.00000E+00 3.90088E+11 194 196   90281 0.00000E+00 3.64415E+11 176 182
 89100 0.00000E+00 3.78752E+11 182 197   90282 0.00000E+00 3.63638E+11 184 182
 89101 0.00000E+00 3.79560E+11 181 197   90283 0.00000E+00 3.56081E+11 195 182
 89102 0.00000E+00 3.86309E+11 181 198   90284 0.00000E+00 3.74974E+11 205 182
 89103 0.00000E+00 3.84472E+11 185 198   90285 0.00000E+00 3.67417E+11 201 182
 89104 0.00000E+00 3.74974E+11 198 199   90286 0.00000E+00 3.74974E+11 209 182
 89105 0.00000E+00 3.63638E+11 200 199   90287 0.00000E+00 3.82531E+11 221 182
 89106 0.00000E+00 3.63638E+11 204 199   90288 0.00000E+00 3.86309E+11 232 182
 89107 0.00000E+00 3.71195E+11 211 198   90289 0.00000E+00 3.82531E+11 225 182
 89108 0.00000E+00 3.67417E+11 204 198   90290 0.00000E+00 3.90806E+11 194 182
 89109 0.00000E+00 3.67417E+11 210 198   90291 0.00000E+00 4.01423E+11 198 182
 89110 0.00000E+00 3.78752E+11 193 197   90292 0.00000E+00 3.93866E+11 214 182
 89111 0.00000E+00 3.74974E+11 196 197   90293 0.00000E+00 3.67417E+11 202 182
 89112 0.00000E+00 3.63638E+11 194 196   90294 0.00000E+00 3.86309E+11 189 182
 89113 0.00000E+00 3.58261E+11 183 196   90295 0.00000E+00 3.91513E+11 168 182
 89114 0.00000E+00 3.52303E+11 189 195   90296 0.00000E+00 3.82531E+11 164 182
 89115 0.00000E+00 3.40968E+11 180 195   90297 0.00000E+00 3.78752E+11 158 182
 89116 0.00000E+00 3.37189E+11 177 194   90298 0.00000E+00 3.78752E+11 162 182
 89117 0.00000E+00 3.33411E+11 177 194   90299 0.00000E+00 3.51828E+11 154 182
 89118 0.00000E+00 3.44746E+11 183 193   90300 0.00000E+00 3.33411E+11 163 182
 89119 0.00000E+00 3.40968E+11 190 193   90301 0.00000E+00 3.52303E+11 151 182
 89120 0.00000E+00 3.44746E+11 181 194   90302 0.00000E+00 3.49128E+11 156 182
 89121 0.00000E+00 3.44746E+11 181 194   90303 0.00000E+00 3.29632E+11 151 182
 89122 0.00000E+00 3.44373E+11 185 195   90304 0.00000E+00 3.14616E+11 142 183
 89123 0.00000E+00 3.52303E+11 191 195   90305 0.00000E+00 3.06893E+11 142 183
 89124 0.00000E+00 3.71195E+11 198 197   90306 0.00000E+00 3.07018E+11 139 183
 89125 0.00000E+00 3.78752E+11 194 199   90307 0.00000E+00 3.18297E+11 150 184
 89126 0.00000E+00 3.71195E+11 196 201   90308 0.00000E+00 3.40968E+11 155 184
 89127 0.00000E+00 3.78752E+11 201 203   90309 0.00000E+00 3.57337E+11 170 184
 89128 0.00000E+00 3.90088E+11 212 205   90310 0.00000E+00 3.66672E+11 196 185
 89129 0.00000E+00 3.90088E+11 205 206   90311 0.00000E+00 3.72199E+11 214 185
 89130 0.00000E+00 4.05202E+11 209 207   90312 0.00000E+00 3.75817E+11 212 186
 89131 0.00000E+00 4.01423E+11 199 208   90313 0.00000E+00 3.78752E+11 201 186
 89132 0.00000E+00 4.12758E+11 197 209   90314 0.00000E+00 3.78752E+11 191 187
 89133 0.00000E+00 4.12759E+11 198 210   90315 0.00000E+00 3.71195E+11 195 187
 89134 0.00000E+00 4.12759E+11 193 210   90316 0.00000E+00 3.78752E+11 191 187
 89135 0.00000E+00 3.78752E+11 196 211   90317 0.00000E+00 3.86309E+11 182 187
 89136 0.00000E+00 3.75929E+11 189 211   90318 0.00000E+00 3.82531E+11 198 187
 89137 0.00000E+00 3.90088E+11 187 212   90319 0.00000E+00 3.59860E+11 207 187
 89138 0.00000E+00 3.90088E+11 185 212   90320 0.00000E+00 3.67417E+11 207 188
 89139 0.00000E+00 3.78752E+11 189 212   90321 0.00000E+00 3.59860E+11 217 188
 89140 0.00000E+00 3.67417E+11 203 213   90322 0.00000E+00 3.59860E+11 199 188
 89141 0.00000E+00 3.67417E+11 212 213   90323 0.00000E+00 3.63638E+11 191 188
 89142 0.00000E+00 3.48525E+11 204 213   90324 0.00000E+00 3.51540E+11 187 188
 89143 0.00000E+00 3.37189E+11 212 213   90325 0.00000E+00 3.40968E+11 178 188
 89144 0.00000E+00 3.52303E+11 210 214   90326 0.00000E+00 3.48525E+11 177 188
 89145 0.00000E+00 3.52303E+11 195 213   90327 0.00000E+00 3.52933E+11 172 187
 89146 0.00000E+00 3.48525E+11 188 213   90328 0.00000E+00 3.49268E+11 167 187
 89147 0.00000E+00 3.52303E+11 177 213   90329 0.00000E+00 3.37189E+11 162 186
 89148 0.00000E+00 3.48525E+11 174 213   90330 0.00000E+00 3.19083E+11 153 185
 89149 0.00000E+00 3.46896E+11 174 213   90331 0.00000E+00 3.18297E+11 155 185
 89150 0.00000E+00 3.48525E+11 183 212   90332 0.00000E+00 3.44746E+11 167 185
 89151 0.00000E+00 3.56081E+11 194 212   90333 0.00000E+00 3.44746E+11 163 185
 89152 0.00000E+00 3.78752E+11 192 212   90334 0.00000E+00 3.40968E+11 170 185
 89153 0.00000E+00 3.82531E+11 208 212   90335 0.00000E+00 3.48525E+11 173 185
 89154 0.00000E+00 3.74974E+11 203 212   90336 0.00000E+00 3.63638E+11 178 186
 89155 0.00000E+00 3.82531E+11 221 212   90337 0.00000E+00 3.71075E+11 188 186
 89156 0.00000E+00 3.91461E+11 213 212   90338 0.00000E+00 3.74974E+11 199 187
 89157 0.00000E+00 3.97645E+11 212 212   90339 0.00000E+00 3.82531E+11 207 187
 89158 0.00000E+00 4.01423E+11 205 212   90340 0.00000E+00 3.90088E+11 221 187
 89159 0.00000E+00 4.01423E+11 223 213   90341 0.00000E+00 3.90088E+11 222 188
 89160 0.00000E+00 4.01423E+11 242 213   90342 0.00000E+00 3.97645E+11 224 188
 89161 0.00000E+00 4.12759E+11 251 213   90343 0.00000E+00 3.93866E+11 230 189
 89162 0.00000E+00 4.05202E+11 270 213   90344 0.00000E+00 3.97645E+11 233 189
 89163 0.00000E+00 4.01423E+11 286 213   90345 0.00000E+00 3.99267E+11 233 190
 89164 0.00000E+00 4.05202E+11 319 213   90346 0.00000E+00 3.96676E+11 228 191
 89165 0.00000E+00 4.01423E+11 327 213   90347 0.00000E+00 3.91673E+11 220 192
 89166 0.00000E+00 4.05202E+11 335 213   90348 0.00000E+00 3.85215E+11 195 192
 89167 0.00000E+00 4.01423E+11 321 213   90349 0.00000E+00 3.77750E+11 193 193
 89168 0.00000E+00 3.97645E+11 304 212   90350 0.00000E+00 3.69373E+11 186 195
 89169 0.00000E+00 4.05202E+11 272 212   90351 0.00000E+00 3.59860E+11 193 196
 89170 0.00000E+00 3.82531E+11 271 211   90352 0.00000E+00 3.52303E+11 202 196
 89171 0.00000E+00 3.73471E+11 249 211   90353 0.00000E+00 3.56081E+11 191 198
 89172 0.00000E+00 3.71195E+11 243 211   90354 0.00000E+00 3.55859E+11 182 200
 89173 0.00000E+00 3.63638E+11 233 211   90355 0.00000E+00 3.50825E+11 186 202
 89174 0.00000E+00 3.74974E+11 239 211   90356 0.00000E+00 3.44733E+11 178 203
 89175 0.00000E+00 3.78752E+11 228 211   90357 0.00000E+00 3.40968E+11 186 205
 89176 0.00000E+00 3.78752E+11 222 212   90358 0.00000E+00 3.42208E+11 185 206
 89177 0.00000E+00 3.74974E+11 233 212   90359 0.00000E+00 3.46698E+11 185 207
 89178 0.00000E+00 3.77919E+11 228 213   90360 0.00000E+00 3.52303E+11 188 207
 89179 0.00000E+00 3.78752E+11 227 214   90361 0.00000E+00 3.57595E+11 192 208
 89180 0.00000E+00 3.71195E+11 223 214   90362 0.00000E+00 3.62348E+11 192 207
 89181 0.00000E+00 3.71195E+11 217 215   90363 0.00000E+00 3.66466E+11 196 207
 89182 0.00000E+00 3.59860E+11 204 215   90364 0.00000E+00 3.69632E+11 190 207
 89183 0.00000E+00 3.56081E+11 193 216   90365 0.00000E+00 3.71195E+11 181 207
 89184 0.00000E+00 3.56081E+11 193 216   91001 0.00000E+00 3.70500E+11 181 207
 89185 0.00000E+00 3.63638E+11 190 217   91002 0.00000E+00 3.68356E+11 176 207
 89186 0.00000E+00 3.71195E+11 183 218   91003 0.00000E+00 3.65622E+11 170 207
 89187 0.00000E+00 3.86309E+11 192 219   91004 0.00000E+00 3.62950E+11 170 207
 89188 0.00000E+00 3.90088E+11 194 220   91005 0.00000E+00 3.61011E+11 173 208
 89189 0.00000E+00 3.82531E+11 189 221   91006 0.00000E+00 3.60737E+11 180 208
 89190 0.00000E+00 3.86396E+11 188 222   91007 0.00000E+00 3.63638E+11 200 209
 89191 0.00000E+00 3.93866E+11 184 223   91008 0.00000E+00 3.70378E+11 208 209
 89192 0.00000E+00 3.93866E+11 193 223   91009 0.00000E+00 3.74974E+11 209 210
 89193 0.00000E+00 3.90088E+11 191 224   91010 0.00000E+00 3.71659E+11 215 212
 89194 0.00000E+00 3.74974E+11 184 224   91011 0.00000E+00 3.63796E+11 209 213
 89195 0.00000E+00 3.64892E+11 184 224   91012 0.00000E+00 3.56081E+11 202 214
 89196 0.00000E+00 3.61313E+11 186 223   91013 0.00000E+00 3.52303E+11 191 216
 89197 0.00000E+00 3.61427E+11 184 223   91014 0.00000E+00 3.52303E+11 185 217
 89198 0.00000E+00 3.63715E+11 184 222   91015 0.00000E+00 3.52303E+11 185 219
 89199 0.00000E+00 3.67417E+11 189 221   91016 0.00000E+00 3.53206E+11 182 219
 89200 0.00000E+00 3.72130E+11 194 221   91017 0.00000E+00 3.53923E+11 202 220
 89201 0.00000E+00 3.77236E+11 192 220   91018 0.00000E+00 3.52303E+11 197 220
 89202 0.00000E+00 3.82109E+11 195 219   91019 0.00000E+00 3.48525E+11 192 220
 89203 0.00000E+00 3.86048E+11 201 218   91020 0.00000E+00 3.51023E+11 198 220
 89204 0.00000E+00 3.88021E+11 197 218   91021 0.00000E+00 3.58143E+11 196 220
 89205 0.00000E+00 3.86309E+11 191 217   91022 0.00000E+00 3.66053E+11 218 219
 89206 0.00000E+00 3.78752E+11 180 216   91023 0.00000E+00 3.71195E+11 216 219
 89207 0.00000E+00 3.67417E+11 170 214   91024 0.00000E+00 3.74974E+11 237 220
 89208 0.00000E+00 3.61742E+11 173 214   91025 0.00000E+00 3.90088E+11 261 220
 89209 0.00000E+00 3.61200E+11 171 214   91026 0.00000E+00 3.97645E+11 277 220
 89210 0.00000E+00 3.63431E+11 181 214   91027 0.00000E+00 4.01423E+11 294 220
 89211 0.00000E+00 3.67046E+11 185 214   91028 0.00000E+00 4.12759E+11 314 221
 89212 0.00000E+00 3.71140E+11 188 215   91029 0.00000E+00 4.17427E+11 345 221
 89213 0.00000E+00 3.74974E+11 199 216   91030 0.00000E+00 4.16537E+11 359 221
 89214 0.00000E+00 3.77982E+11 202 217   91031 0.00000E+00 4.12759E+11 349 222
 89215 0.00000E+00 3.80378E+11 220 217   91032 0.00000E+00 4.01423E+11 307 223
 89216 0.00000E+00 3.82424E+11 226 218   91033 0.00000E+00 3.90088E+11 289 223
 89217 0.00000E+00 3.84261E+11 242 218   91034 0.00000E+00 3.74974E+11 258 224
 89218 0.00000E+00 3.85953E+11 240 218   91035 0.00000E+00 3.78752E+11 239 225
 89219 0.00000E+00 3.87516E+11 241 218   91036 0.00000E+00 3.86309E+11 217 226
 89220 0.00000E+00 3.88923E+11 234 218   91037 0.00000E+00 3.74974E+11 199 227
 89221 0.00000E+00 3.90088E+11 234 218   91038 0.00000E+00 3.63638E+11 193 228
 89222 0.00000E+00 3.90937E+11 233 217   91039 0.00000E+00 3.67417E+11 193 228
 89223 0.00000E+00 3.91671E+11 244 217   91040 0.00000E+00 3.70307E+11 174 229
 89224 0.00000E+00 3.92546E+11 256 217   91041 0.00000E+00 3.69667E+11 170 230
 89225 0.00000E+00 3.93866E+11 264 216   91042 0.00000E+00 3.67435E+11 177 231
 89226 0.00000E+00 3.93866E+11 271 216   91043 0.00000E+00 3.64990E+11 182 232
 89227 0.00000E+00 3.86540E+11 282 216   91044 0.00000E+00 3.63638E+11 182 233
 89228 0.00000E+00 3.82531E+11 260 215   91045 0.00000E+00 3.63638E+11 184 233
 89229 0.00000E+00 3.90088E+11 263 215   91046 0.00000E+00 3.61549E+11 192 234
 89230 0.00000E+00 3.92897E+11 265 215   91047 0.00000E+00 3.58484E+11 200 234
 89231 0.00000E+00 3.93866E+11 249 215   91048 0.00000E+00 3.56863E+11 210 234
 89232 0.00000E+00 3.97645E+11 236 216   91049 0.00000E+00 3.59615E+11 260 234
 89233 0.00000E+00 3.93866E+11 226 216   91050 0.00000E+00 3.71195E+11 270 234
 89234 0.00000E+00 3.82531E+11 205 216   91051 0.00000E+00 3.93866E+11 284 233
 89235 0.00000E+00 3.71195E+11 191 216   91052 0.00000E+00 4.12759E+11 299 233
 89236 0.00000E+00 3.63638E+11 182 217   91053 0.00000E+00 4.14540E+11 303 233
 89237 0.00000E+00 3.56081E+11 160 217   91054 0.00000E+00 4.05402E+11 312 233
 89238 0.00000E+00 3.52303E+11 161 218   91055 0.00000E+00 3.93866E+11 313 233
 89239 0.00000E+00 3.44746E+11 160 218   91056 0.00000E+00 3.85769E+11 288 233
 89240 0.00000E+00 3.49255E+11 174 219   91057 0.00000E+00 3.80630E+11 272 233
 89241 0.00000E+00 3.61441E+11 180 219   91058 0.00000E+00 3.77158E+11 249 233
 89242 0.00000E+00 3.71195E+11 192 219   91059 0.00000E+00 3.74643E+11 228 233
 89243 0.00000E+00 3.74974E+11 209 219   91060 0.00000E+00 3.72712E+11 217 234
 89244 0.00000E+00 3.86309E+11 224 219   91061 0.00000E+00 3.71195E+11 208 234
 89245 0.00000E+00 3.91027E+11 233 219   91062 0.00000E+00 3.67417E+11 206 235
 89246 0.00000E+00 3.90088E+11 243 219   91063 0.00000E+00 3.56081E+11 219 235
 89247 0.00000E+00 3.90088E+11 245 220   91064 0.00000E+00 3.56081E+11 208 236
 89248 0.00000E+00 3.97645E+11 273 220   91065 0.00000E+00 3.68106E+11 207 236
 89249 0.00000E+00 4.10363E+11 288 221   91066 0.00000E+00 3.78752E+11 215 236
 89250 0.00000E+00 4.21751E+11 303 222   91067 0.00000E+00 3.78752E+11 209 236
 89251 0.00000E+00 4.24094E+11 302 222   91068 0.00000E+00 3.80502E+11 216 235
 89252 0.00000E+00 4.12759E+11 312 223   91069 0.00000E+00 3.85217E+11 223 234
 89253 0.00000E+00 4.01423E+11 303 223   91070 0.00000E+00 3.90435E+11 222 233
 89254 0.00000E+00 3.97645E+11 299 223   91071 0.00000E+00 3.93866E+11 229 231
 89255 0.00000E+00 3.97180E+11 292 223   91072 0.00000E+00 3.93550E+11 239 229
 89256 0.00000E+00 3.93866E+11 249 223   91073 0.00000E+00 3.90088E+11 242 227
 89257 0.00000E+00 3.86309E+11 245 223   91074 0.00000E+00 3.84279E+11 242 225
 89258 0.00000E+00 3.86309E+11 226 222   91075 0.00000E+00 3.77514E+11 259 223
 89259 0.00000E+00 3.82930E+11 234 221   91076 0.00000E+00 3.71195E+11 245 222
 89260 0.00000E+00 3.75114E+11 216 221   91077 0.00000E+00 3.67417E+11 275 221
 89261 0.00000E+00 3.65154E+11 209 220   91078 0.00000E+00 3.69435E+11 265 221
 89262 0.00000E+00 3.54589E+11 197 219   91079 0.00000E+00 3.75345E+11 254 220
 89263 0.00000E+00 3.44746E+11 173 219   91080 0.00000E+00 3.82705E+11 253 220
 89264 0.00000E+00 3.40968E+11 162 218   91081 0.00000E+00 3.89580E+11 258 220
 89265 0.00000E+00 3.52303E+11 159 218   91082 0.00000E+00 3.93866E+11 233 220
 89266 0.00000E+00 3.52341E+11 158 217   91083 0.00000E+00 3.93614E+11 261 219
 89267 0.00000E+00 3.42794E+11 157 216   91084 0.00000E+00 3.89597E+11 235 219
 89268 0.00000E+00 3.33276E+11 167 216   91085 0.00000E+00 3.82331E+11 229 219
 89269 0.00000E+00 3.33411E+11 182 215   91086 0.00000E+00 3.71195E+11 203 219
 89270 0.00000E+00 3.44746E+11 199 215   91087 0.00000E+00 3.56728E+11 198 220
 89271 0.00000E+00 3.48525E+11 194 214   91088 0.00000E+00 3.48525E+11 193 220
 89272 0.00000E+00 3.71195E+11 205 215   91089 0.00000E+00 3.48525E+11 201 220
 89273 0.00000E+00 3.71195E+11 202 215   91090 0.00000E+00 3.33411E+11 195 220
 89274 0.00000E+00 3.78752E+11 198 215   91091 0.00000E+00 3.35720E+11 193 220
 89275 0.00000E+00 3.88111E+11 209 216   91092 0.00000E+00 3.48525E+11 189 219
 89276 0.00000E+00 3.95326E+11 222 217   91093 0.00000E+00 3.59860E+11 196 218
 89277 0.00000E+00 4.00548E+11 234 217   91094 0.00000E+00 3.78752E+11 195 217
 89278 0.00000E+00 4.03233E+11 223 218   91095 0.00000E+00 3.86309E+11 197 216
 89279 0.00000E+00 4.01947E+11 221 219   91096 0.00000E+00 3.82531E+11 200 214
 89280 0.00000E+00 3.93866E+11 226 220   91097 0.00000E+00 3.93866E+11 193 213
 89281 0.00000E+00 3.78752E+11 210 220   91098 0.00000E+00 3.88629E+11 183 212
 89282 0.00000E+00 3.71195E+11 202 221   91099 0.00000E+00 3.82531E+11 204 211
 89283 0.00000E+00 3.76710E+11 196 221   91100 0.00000E+00 3.93866E+11 224 210
 89284 0.00000E+00 3.82531E+11 192 221   91101 0.00000E+00 4.01423E+11 232 209
 89285 0.00000E+00 3.78752E+11 203 221   91102 0.00000E+00 4.16537E+11 254 208
 89286 0.00000E+00 3.78752E+11 224 221   91103 0.00000E+00 4.05202E+11 243 208
 89287 0.00000E+00 3.82531E+11 226 221   91104 0.00000E+00 4.24094E+11 269 207
 89288 0.00000E+00 3.78752E+11 225 220   91105 0.00000E+00 4.08980E+11 263 207
 89289 0.00000E+00 3.71195E+11 237 220   91106 0.00000E+00 4.00420E+11 269 206
 89290 0.00000E+00 3.44746E+11 225 219   91107 0.00000E+00 4.01423E+11 254 206
 89291 0.00000E+00 3.25375E+11 221 218   91108 0.00000E+00 4.00194E+11 239 206
 89292 0.00000E+00 3.15848E+11 215 217   91109 0.00000E+00 3.97645E+11 232 207
